bookID,title,authors,isbn,isbn13
16181,The Constant Princess (The Plantagenet and Tudor Novels  #6),Philippa Gregory,743272498,9780743272490
16182,The Favored Child (The Wideacre Trilogy  #2),Philippa Gregory,743249305,9780743249300
16183,The Virgin's Lover (The Plantagenet and Tudor Novels  #13),Philippa Gregory,743269268,9780743269261
16184,Virgin Earth  (Tradescant  #2),Philippa Gregory,743272536,9780743272537
16185,The Wise Woman,Philippa Gregory,6514642,9780006514640
16186,Meridon (The Wideacre Trilogy  #3),Philippa Gregory,743249313,9780743249317
16187,The Little House,Philippa Gregory,6496431,9780006496434
16188,Wideacre  (The Wideacre Trilogy  #1),Philippa Gregory,743249291,9780743249294
16191,Un café lejos de aquí,Z.Z. Packer/María Pérez López de Heredia,8496454339,9788496454330
16192,You Can't Be Neutral on a Moving Train: A Personal History of Our Times,Howard Zinn,807071277,9780807071274
16193,Declarations of Independence: Cross-Examining American Ideology,Howard Zinn,60921080,9780060921088
16199,Citas Celestiales,Alexander McCall Smith/Marta Torent López de Lamadrid,8489367159,9788489367159
16200,Ella Minnow Pea: A Novel in Letters,Mark Dunn,385722435,9780385722438
16205,Daisy Miller and Other Stories,Henry James/Jean Gooder,192835432,9780192835437
16208,The Turn of the Screw/Daisy Miller,Henry James,440391547,9780440391548
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,385495226,9780385495226
16214,The Hot Zone: The Chilling True Story of an Ebola Outbreak,Richard   Preston,552143030,9780552143035
16228,Gardening with a Wild Heart: Restoring California's Native Landscapes at Home,Judith Larner Lowry,520251741,9780520251748
16229,Teacher's Pet (Wild at Heart  #7),Laurie Halse Anderson,1584850558,9781584850557
16230,Homeless (Wild at Heart  #2),Laurie Halse Anderson/Mark Salisbury,1584850450,9781584850458
16234,Hear the Wind Blow,Mary Downing Hahn,618181903,9780618181902
16243,Case Histories (Jackson Brodie #1),Kate Atkinson,316010707,9780316010702
16245,Three Case Histories,Sigmund Freud/Philip Rieff,684829452,9780684829456
16267,Michael Tolliver Lives (Tales of the City  #7),Armistead Maupin,60761350,9780060761356
16268,Back to Barbary Lane: The Tales of the City Omnibus (Tales of the City  #4-6),Armistead Maupin,60166495,9780060166496
16271,The Intuitionist,Colson Whitehead,385493002,9780385493000
16276,John Henry Days,Colson Whitehead,385498209,9780385498203
16280,Why Are All The Black Kids Sitting Together in the Cafeteria?: A Psychologist Explains the Development of Racial Identity,Beverly Daniel Tatum,465083617,9780465083619
16285,The Custard Kid (Black Cats),Terry Deary,713659890,9780713659894
16286,The Magus,John Fowles,316296198,9780316296199
16291,The Magus of Freemasonry: The Mysterious Life of Elias Ashmole—Scientist  Alchemist  and Founder of the Royal Society,Tobias Churton,1594771227,9781594771224
16292,The Myth of the Magus (Canto Original),Elizabeth M. Butler,521437776,9780521437776
16297,Cards on the Table (Hercule Poirot  #15),Agatha Christie,425205959,9780425205952
16298,A Murder Is Announced (Miss Marple  #5),Agatha Christie,1579126294,9781579126292
16299,And Then There Were None,Agatha Christie,312330871,9780312330873
16300,Sleeping Murder (Miss Marple  #13),Agatha Christie,2317850,9780002317856
16301,Agatha Christie: An Autobiography,Agatha Christie/Robert Welch Herrick,6353282,9780006353287
16304,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,425200450,9780425200452
16305,Evil Under the Sun (Hercule Poirot  #24),Agatha Christie,1579126286,9781579126285
16307,Hallowe'en Party (Hercule Poirot  #39),Agatha Christie,7120680,9780007120680
